,country,itemId,paymentMethod,postalCode,sellingStatus,topRatedListing,AutoPay,AvailableForPickupDropOff,BestOfferEnabled,BidCount,BuyItNowPrice,FinalPrice,GlobalShipping,HandlingTime,HitCount,ListingStatus,ListingType,Location,MinimumToBid,ProductID,Quantity,QuantityThreshold,ReserveMet,ShipToLocations,Title,UserID,FeedbackScore,PositiveFeedbackPercent,SellerBusinessType,NewUser,FeedbackPrivate,nPhotos,nPaymentMethods,nShippingCountries,conditionId,bestOfferEnabled,buyItNowAvailable,expeditedShipping,shippingType,oneDayShippingAvailable,NegFeedback30Day,NegFeedback365Day,PosFeedback30Day,PosFeedback365Day,auctionLength
6181,0,262148560399,0,91302,0,False,False,0,True,0,0.0,295.0,True,2.0,55.0,Completed,1,"Calabasas, California",,170054882,1,0.0,,1,Apple iPhone 5s - 32GB - Gold (AT&T) Smartphone,popstarclub,16,100.0,0,False,False,5,1,49,5,True,False,True,1,False,0,0,1,2,98.0
6182,0,181932441267,0,76549,1,False,False,0,False,17,300.0,234.5,True,2.0,106.0,Completed,0,"Killeen, Texas",237.0,168553510,1,0.0,0.0,1,Apple iPhone 5s - 32GB - Silver (AT&T) Smartphone,texgmn9o2a,979,100.0,1,False,False,11,1,48,5,False,True,True,1,False,0,0,13,98,168.0
6183,0,181938732902,0,76549,0,False,False,0,False,1,0.0,250.0,True,2.0,26.0,Completed,0,"Killeen, Texas",255.0,168553510,1,0.0,1.0,1,Apple iPhone 5s - 32GB - Silver (AT&T) Smartphone,texgmn9o2a,979,100.0,1,False,False,11,1,48,5,False,False,True,1,False,0,0,13,98,4.0
6184,0,252170904370,0,01702,0,False,False,0,False,1,0.0,184.61,False,2.0,42.0,Completed,0,"Framingham, Massachusetts",187.11,168534287,1,0.0,,0,Apple iPhone 5s - 32GB - Space Gray (AT&T) Smartphone,chrischampagne1323,2,0.0,1,False,False,2,1,1,5,False,False,True,1,False,0,0,0,0,168.0
6185,0,252191507859,0,01702,1,False,False,0,False,0,0.0,184.61,False,2.0,49.0,Completed,0,"Framingham, Massachusetts",184.61,168534287,1,0.0,,0,Apple iPhone 5s - 32GB - Space Gray (AT&T) Smartphone,chrischampagne1323,2,0.0,1,False,False,2,1,1,5,False,False,True,1,False,0,0,0,0,168.0
6186,0,252191504022,0,01702,0,False,False,0,False,3,0.0,195.5,False,2.0,58.0,Completed,0,"Framingham, Massachusetts",198.0,168534287,1,0.0,,0,Apple iPhone 5s - 32GB - Space Gray (AT&T) Smartphone,chrischampagne1323,2,0.0,1,False,False,2,1,1,5,False,False,True,1,False,0,0,0,0,168.0
6187,0,201471157152,0,37214,0,False,True,0,False,0,0.0,189.99,True,3.0,2.0,Completed,1,"Nashville, Tennessee",,,1,0.0,,1,Apple iPhone 5s 32 gb Verizon Clean ESN MINT condition ,planetexplosionstore,168,95.7,1,False,False,2,1,51,5,False,False,True,0,False,2,2,4,51,0.0
6188,0,201478937545,0,37214,0,False,True,0,True,0,0.0,229.99,True,3.0,3.0,Completed,1,"Nashville, Tennessee",,,1,0.0,,1,iPhone 5S 32 GB White Verizon CLEAN ESN,planetexplosionstore,168,95.7,1,False,False,1,1,49,5,True,False,False,0,False,2,2,4,51,0.0
6189,0,172006475250,0,32043,0,False,False,0,False,0,0.0,219.99,True,1.0,1.0,Completed,1,"Green Cove Springs, Florida",,168464971,1,0.0,,1,Apple iPhone 5s - 32GB - Gray (Verizon) Smartphone - Clean ESN,dnt-systems,425,100.0,1,False,False,6,1,49,5,False,False,True,1,False,0,0,14,93,0.0
6190,0,272045979395,0,92688,0,False,False,0,False,31,0.0,137.5,False,2.0,393.0,Completed,0,"Rancho Santa Margarita, California",140.0,168464971,1,0.0,,0,Apple iPhone 5s - 32GB - Space Gray (Verizon) Smartphone,kam437,153,100.0,1,False,False,6,1,1,9,False,False,True,1,False,0,0,1,30,168.0
6191,0,191739868287,0,55127,0,False,False,0,False,5,0.0,238.0,True,2.0,204.0,Completed,0,"Saint Paul, Minnesota",240.5,168553370,1,0.0,,1,Apple iPhone 5s - 32GB - Silver (Verizon) Smartphone,g-schmit,183,100.0,1,False,False,5,1,48,5,False,False,True,1,False,0,0,4,19,120.0
6192,0,351585275336,0,92128,0,False,True,0,False,1,0.0,199.0,True,2.0,3.0,Completed,0,"San Diego, California",201.5,170084987,1,0.0,,1,Apple iPhone 5s - 32GB - Gold (Verizon) Smartphone,osianderson702,147,100.0,1,False,False,3,1,50,5,False,False,True,0,False,0,0,15,25,0.0
6193,0,121804206707,0,47408,0,False,False,0,False,0,0.0,249.0,True,1.0,258.0,Completed,1,"Bloomington, Indiana",,168534287,1,0.0,,1,"iPhone 5S 32Gb Space Gray AT&T Brand New UNTOUCHED Lightning Cord, Case, EarPods",zer024,390,100.0,1,False,False,9,1,49,5,False,False,True,0,False,0,0,6,44,476.0
6194,0,252178811364,0,41230,0,False,False,0,False,1,0.0,199.99,True,2.0,130.0,Completed,0,"Louisa, Kentucky",202.49,168553510,1,0.0,,1,Apple iPhone 5s - 32GB - Silver (AT&T) Smartphone,smjbrules,191,96.2,1,False,False,3,1,50,5,False,False,True,1,False,1,1,7,23,24.0
